epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.0732,1.97319,3.71311,1.87629,0.32707,0.326,0.28235,0.13825,1.37405,2.67221,1.37719,0.000235025,0.000235025,0.000235025
2,27.9443,1.43496,2.18195,1.52833,0.76929,0.6911,0.80698,0.47689,1.23062,1.55785,1.39597,0.000468342,0.000468342,0.000468342
3,40.793,1.33023,1.59301,1.42421,0.87308,0.82848,0.92107,0.58699,1.11678,1.19722,1.31551,0.000696947,0.000696947,0.000696947
4,53.0707,1.2535,1.43594,1.38397,0.89333,0.86556,0.92671,0.54752,1.20399,1.117,1.36907,0.000692794,0.000692794,0.000692794
5,65.2096,1.20002,1.34951,1.34996,0.96135,0.9211,0.95952,0.64972,1.00439,0.94066,1.23764,0.000685726,0.000685726,0.000685726
6,77.6639,1.14594,1.22324,1.30822,0.97401,0.92762,0.96309,0.65271,1.03511,0.86483,1.25411,0.000678657,0.000678657,0.000678657
7,89.8612,1.11605,1.16625,1.2845,0.98579,0.94141,0.96667,0.70352,0.91891,0.76869,1.17828,0.000671588,0.000671588,0.000671588
8,102.158,1.06953,1.10419,1.25242,0.98309,0.94059,0.96684,0.69156,0.94415,0.78446,1.18393,0.00066452,0.00066452,0.00066452
9,114.558,1.05271,1.05671,1.24186,0.96791,0.93085,0.96874,0.71156,0.90349,0.77016,1.1647,0.000657451,0.000657451,0.000657451
10,126.255,1.00598,1.01153,1.21013,0.96736,0.94408,0.96802,0.71529,0.90458,0.72447,1.16181,0.000650383,0.000650383,0.000650383
11,139.27,0.98222,0.95851,1.18542,0.98551,0.95436,0.97442,0.73217,0.86406,0.64032,1.13574,0.000643314,0.000643314,0.000643314
12,152.613,0.97696,0.95391,1.18871,0.97966,0.95132,0.97404,0.76087,0.7909,0.61494,1.08828,0.000636245,0.000636245,0.000636245
13,165.437,0.93888,0.91995,1.16021,0.98764,0.94919,0.97291,0.76714,0.74316,0.59634,1.06486,0.000629177,0.000629177,0.000629177
14,178.322,0.92047,0.89132,1.15826,0.99105,0.95419,0.97579,0.78607,0.72684,0.54148,1.04641,0.000622108,0.000622108,0.000622108
15,190.393,0.93231,0.88168,1.15793,0.99268,0.95642,0.97718,0.78482,0.73557,0.53011,1.05663,0.00061504,0.00061504,0.00061504
16,202.384,0.90026,0.86589,1.14168,0.98988,0.95145,0.97493,0.77491,0.75623,0.54833,1.05795,0.000607971,0.000607971,0.000607971
17,214.876,0.88504,0.84528,1.13431,0.98796,0.95914,0.97778,0.796,0.70032,0.51812,1.0272,0.000600902,0.000600902,0.000600902
18,226.91,0.87464,0.822,1.12039,0.99007,0.95415,0.97603,0.80002,0.68321,0.5074,1.01254,0.000593834,0.000593834,0.000593834
19,239.548,0.88761,0.83069,1.12406,0.98522,0.95757,0.97757,0.79606,0.71012,0.49574,1.02962,0.000586765,0.000586765,0.000586765
20,252.282,0.85627,0.80548,1.11122,0.99252,0.9549,0.97779,0.80401,0.66857,0.48407,1.00415,0.000579697,0.000579697,0.000579697
21,265.05,0.8606,0.79938,1.11395,0.98961,0.96161,0.97918,0.80585,0.67089,0.48206,1.01216,0.000572628,0.000572628,0.000572628
22,278.029,0.83549,0.77593,1.10121,0.99048,0.95282,0.97942,0.79975,0.67618,0.48097,1.01939,0.000565559,0.000565559,0.000565559
23,290.58,0.83145,0.77548,1.09802,0.9914,0.96192,0.97925,0.82808,0.61226,0.43108,0.98135,0.000558491,0.000558491,0.000558491
24,302.936,0.80351,0.74393,1.08827,0.98969,0.95661,0.97794,0.80486,0.67548,0.46416,1.01314,0.000551422,0.000551422,0.000551422
25,315.72,0.82339,0.74125,1.08576,0.99145,0.96384,0.98014,0.82985,0.60776,0.42486,0.97487,0.000544354,0.000544354,0.000544354
26,328.283,0.79964,0.72302,1.08029,0.99506,0.96098,0.98104,0.83144,0.60472,0.43605,0.97478,0.000537285,0.000537285,0.000537285
27,341.018,0.7941,0.7199,1.079,0.98919,0.96681,0.98181,0.83587,0.59613,0.41055,0.97733,0.000530216,0.000530216,0.000530216
